EG(+)		EG(-)		EG(+)& St(+)		EG(+)& St(-)		EG(-)& St(+)		EG(-)& St(-)	
range	Count	range	Count	range	Count	range	Count	range	Count	range	Count
100000	25	100000	167	100000	15	100000	10	100000	87	100000	80
200000	18	200000	172	200000	10	200000	8	200000	90	200000	82
300000	19	300000	150	300000	13	300000	6	300000	80	300000	70
400000	23	400000	156	400000	14	400000	9	400000	74	400000	82
500000	56	500000	166	500000	16	500000	40	500000	78	500000	88
600000	35	600000	157	600000	19	600000	16	600000	75	600000	82
700000	26	700000	172	700000	10	700000	16	700000	88	700000	84
800000	25	800000	161	800000	10	800000	15	800000	83	800000	78
900000	40	900000	142	900000	25	900000	15	900000	64	900000	78
1000000	30	1000000	173	1000000	21	1000000	9	1000000	89	1000000	84
1100000	19	1100000	172	1100000	6	1100000	13	1100000	75	1100000	97
1200000	35	1200000	167	1200000	16	1200000	19	1200000	101	1200000	66
1300000	43	1300000	155	1300000	21	1300000	22	1300000	81	1300000	74
1400000	23	1400000	164	1400000	6	1400000	17	1400000	79	1400000	85
1500000	25	1500000	176	1500000	11	1500000	14	1500000	83	1500000	93
1600000	17	1600000	161	1600000	8	1600000	9	1600000	70	1600000	91
1700000	31	1700000	144	1700000	20	1700000	11	1700000	71	1700000	73
1800000	22	1800000	161	1800000	8	1800000	14	1800000	76	1800000	85
1900000	27	1900000	177	1900000	17	1900000	10	1900000	85	1900000	92
2000000	46	2000000	174	2000000	17	2000000	29	2000000	84	2000000	90
2100000	32	2100000	173	2100000	18	2100000	14	2100000	87	2100000	86
2200000	37	2200000	159	2200000	18	2200000	19	2200000	81	2200000	78
2300000	30	2300000	172	2300000	18	2300000	12	2300000	84	2300000	88
2400000	3	2400000	36	2400000	2	2400000	1	2400000	14	2400000	22
bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction			
2	CR	CDS	190	255	+	-	715831	+			
4	CR	CDS	337	2799	+	-	715978	+			
6	CR	CDS	2801	3733	+	-	718442	+			
8	CR	CDS	3734	5020	+	-	719375	+			
10	CR	CDS	5234	5530	+	-	720875	+			
12	CR	CDS	5683	6459	-	-	722100	+			
14	CR	CDS	6529	7959	-	-	723600	+			
16	CR	CDS	8238	9191	+	-	723879	+			
