OrgName	seqLen	oriSP	oriEP	Ter	
NC_000964	4215606	4214414	409	2107411	
bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction	
2	CR	CDS	410	1750	+	+	1	+	
4	CR	CDS	1939	3075	+	-	1530	+	
6	CR	CDS	3206	3421	+	-	2797	+	
8	CR	CDS	3437	4549	+	-	3028	+	
10	CR	CDS	4567	4812	+	-	4158	+	
12	CR	ND	4867	6783	+	-	4458	+	
14	CR	CDS	6994	9459	+	-	6585	+	
16	CR	CDS	9810	11364	+	-	9401	+	
18	CR	CDS	11464	11540	+	+	11055	+	
20	CR	CDS	11552	11627	+	+	11143	+	
22	CR	CDS	11709	14636	+	-	11300	+	
24	CR	CDS	14692	14810	+	-	14283	+	
26	CR	CDS	14847	15794	-	-	14438	+	
28	CR	CDS	15915	17381	+	+	15506	+	
30	CR	CDS	17534	18865	+	+	17125	+	
32	CR	CDS	19062	19946	+	-	18653	+	
34	CR	CDS	19968	20558	+	-	19559	+	
36	CR	CDS	20611	20823	+	+	20202	+	
38	CR	CDS	20880	22157	+	-	20471	+	
40	CR	CDS	22292	22384	+	-	21883	+	
42	CR	CDS	22496	23149	-	-	22087	+	
44	CR	CDS	23146	23769	-	+	22737	+	
46	CR	CDS	23868	25151	-	+	23459	+	
48	CR	CDS	25221	25766	-	-	24812	+	
50	CR	CDS	25852	26337	+	-	25443	+	
52	CR	CDS	26533	26635	+	-	26124	+	
54	CR	CDS	26814	28505	+	+	26405	+	
56	CR	CDS	28529	28852	+	-	28120	+	
58	CR	CDS	28867	29463	+	-	28458	+	
60	CR	CDS	29481	29705	+	-	29072	+	
62	CR	CDS	29772	30035	+	-	29363	+	
64	CR	CDS	30279	31832	+	+	29870	+	
66	CR	CDS	31932	32008	+	-	31523	+	
68	CR	CDS	32020	32095	+	-	31611	+	
70	CR	CDS	32177	35103	+	-	31768	+	
72	CR	CDS	35237	35355	+	-	34828	+	
74	CR	CDS	35531	35725	+	-	35122	+	
76	CR	CDS	35845	36459	+	+	35436	+	
78	CR	CDS	36478	37638	+	+	36069	+	
80	CR	CDS	37720	39162	+	-	37311	+	
82	CR	CDS	39159	39797	+	+	38750	+	
84	CR	CDS	39871	40200	+	-	39462	+	
86	CR	CDS	40213	40653	+	-	39804	+	
88	CR	CDS	40665	41654	+	-	40256	+	
90	CR	tRNA	41657	42484	+	-	41248	+	
92	CR	CDS	42499	42858	+	-	42090	+	
