bgBrickID	bgBrickType	brickType	bgSP	bgEP	brickLen	Strand	operonID	geneName	locus_tag	pseudoGene	EG	funCat	COG_Num	KO_Num	GO_FunNum	GO_ProcNum	GO_CompNum	locus	seqLen	circular	organism	
1	ICR	TP	2038404	0	212													NC_003098	2038615	+	Streptococcus pneumoniae R6	
2	CR	CDS	1	1362	1362	-1	+	dnaA	spr0001	-	+	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
3	ICR	TP	1363	1520	158													NC_003098	2038615	+	Streptococcus pneumoniae R6	
4	CR	CDS	1521	2657	1137	-1	+	dnaN	spr0002	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
5	ICR	TP	2658	2721	64													NC_003098	2038615	+	Streptococcus pneumoniae R6	
6	CR	CDS	2722	2916	195	-1	+	spr0003	spr0003	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
7	ICR	TP	2917	2999	83													NC_003098	2038615	+	Streptococcus pneumoniae R6	
8	CR	CDS	3000	4115	1116	-1	+	spr0004	spr0004	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
9	ICR	TP	4116	4185	70													NC_003098	2038615	+	Streptococcus pneumoniae R6	
10	CR	CDS	4186	4755	570	-1	+	pth	spr0005	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
11	ICR	TP	4756	4755	0													NC_003098	2038615	+	Streptococcus pneumoniae R6	
12	CR	ND	4756	8265	3510	-1	+	mfd	spr0006	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
13	ICR	TP	8266	8322	57													NC_003098	2038615	+	Streptococcus pneumoniae R6	
14	CR	CDS	8323	8589	267	-1	+	spr0007	spr0007	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
15	ICR	TP	8590	8581	-8													NC_003098	2038615	+	Streptococcus pneumoniae R6	
16	CR	CDS	8582	8950	369	-1	+	spr0008	spr0008	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
17	ICR	TP	8951	9000	50													NC_003098	2038615	+	Streptococcus pneumoniae R6	
18	CR	CDS	9001	10338	1338	-1	+	spr0009	spr0009	-	+	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
19	ICR	TP	10339	10334	-4													NC_003098	2038615	+	Streptococcus pneumoniae R6	
20	CR	CDS	10335	11612	1278	-1	+	spr0010	spr0010	-	+	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
21	ICR	TP	11613	11615	3													NC_003098	2038615	+	Streptococcus pneumoniae R6	
22	CR	CDS	11616	12158	543	-1	+	hgt	spr0011	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
23	ICR	TP	12159	12173	15													NC_003098	2038615	+	Streptococcus pneumoniae R6	
24	CR	CDS	12174	14132	1959	-1	+	ftsH	spr0012	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
25	ICR	TP	14133	14253	121													NC_003098	2038615	+	Streptococcus pneumoniae R6	
26	CR	CDS	14254	14733	480	-1	+	comX1	spr0013	-	-	X						NC_003098	2038615	+	Streptococcus pneumoniae R6	
