orgName= Escherichia coli str. K-12 substr. MG1655

LOCUS= NC_000913, GenomeSeqLen= 4639675
4: egSP =21407, nSpacer =42, downstream =21
5: egSP =22391, nSpacer =42, upstream =21
5: egSP =22391, nSpacer =-1, downstream =0
6: egSP =25207, nSpacer =-1, upstream =-1
12: egSP =90094, nSpacer =-4, downstream =-2
13: egSP =91032, nSpacer =-4, upstream =-2
13: egSP =91032, nSpacer =15, downstream =7
14: egSP =91413, nSpacer =15, upstream =8
14: egSP =91413, nSpacer =-14, downstream =-7
15: egSP =93166, nSpacer =-14, upstream =-7
15: egSP =93166, nSpacer =-4, downstream =-2
16: egSP =94650, nSpacer =-4, upstream =-2
16: egSP =94650, nSpacer =-7, downstream =-3
17: egSP =96002, nSpacer =-7, upstream =-4
17: egSP =96002, nSpacer =2, downstream =1
18: egSP =97087, nSpacer =2, upstream =1
18: egSP =97087, nSpacer =-1, downstream =0
19: egSP =98403, nSpacer =-1, upstream =-1
19: egSP =98403, nSpacer =-4, downstream =-2
20: egSP =99644, nSpacer =-4, upstream =-2
21: egSP =100765, nSpacer =53, upstream =27
21: egSP =100765, nSpacer =-8, downstream =-4
22: egSP =102233, nSpacer =-8, upstream =-4
22: egSP =102233, nSpacer =1, downstream =0
23: egSP =103155, nSpacer =1, upstream =1
23: egSP =103155, nSpacer =-4, downstream =-2
24: egSP =103982, nSpacer =-4, upstream =-2
25: egSP =105305, nSpacer =60, upstream =30
27: egSP =107705, nSpacer =61, downstream =30
28: egSP =108279, nSpacer =61, upstream =31
38: egSP =185123, nSpacer =30, downstream =15
39: egSP =185978, nSpacer =30, upstream =15
39: egSP =185978, nSpacer =61, downstream =30
40: egSP =188712, nSpacer =61, upstream =31
44: egSP =192872, nSpacer =91, downstream =45
45: egSP =193521, nSpacer =91, upstream =46
46: egSP =194903, nSpacer =12, downstream =6
47: egSP =195677, nSpacer =12, upstream =6
47: egSP =195677, nSpacer =11, downstream =5
48: egSP =196546, nSpacer =11, upstream =6
48: egSP =196546, nSpacer =29, downstream =14
49: egSP =197928, nSpacer =29, upstream =15
51: egSP =202101, nSpacer =3, downstream =1
52: egSP =202560, nSpacer =3, upstream =2
52: egSP =202560, nSpacer =-1, downstream =0
53: egSP =203348, nSpacer =-1, upstream =-1
53: egSP =203348, nSpacer =-4, downstream =-2
54: egSP =204493, nSpacer =-4, upstream =-2
54: egSP =204493, nSpacer =36, downstream =18
55: egSP =205126, nSpacer =36, upstream =18
55: egSP =205126, nSpacer =12, downstream =6
56: egSP =208621, nSpacer =12, upstream =6
60: egSP =235535, nSpacer =64, downstream =32
61: egSP =236067, nSpacer =64, upstream =32
64: egSP =284619, nSpacer =11, downstream =5
65: egSP =286013, nSpacer =11, upstream =6
77: egSP =426871, nSpacer =10, downstream =5
78: egSP =428729, nSpacer =10, upstream =5
79: egSP =432679, nSpacer =88, downstream =44
80: egSP =433871, nSpacer =88, upstream =44
80: egSP =433871, nSpacer =19, downstream =9
81: egSP =434361, nSpacer =19, upstream =10
82: egSP =434858, nSpacer =77, upstream =39
82: egSP =434858, nSpacer =-23, downstream =-11
83: egSP =435813, nSpacer =-23, upstream =-12
84: egSP =437539, nSpacer =24, downstream =12
85: egSP =439426, nSpacer =24, upstream =12
89: egSP =489509, nSpacer =69, downstream =34
90: egSP =490106, nSpacer =69, upstream =35
99: egSP =548850, nSpacer =-4, downstream =-2
100: egSP =549662, nSpacer =-4, upstream =-2
101: egSP =552441, nSpacer =2, downstream =1
102: egSP =553166, nSpacer =2, upstream =1
107: egSP =572307, nSpacer =-4, downstream =-2
108: egSP =572594, nSpacer =-4, upstream =-2
114: egSP =664424, nSpacer =2, downstream =1
115: egSP =665539, nSpacer =2, upstream =1
115: egSP =665539, nSpacer =30, downstream =15
116: egSP =667471, nSpacer =30, upstream =15
117: egSP =669154, nSpacer =1, downstream =0
118: egSP =669797, nSpacer =1, upstream =1
118: egSP =669797, nSpacer =-1, downstream =0
119: egSP =670828, nSpacer =-1, upstream =-1
119: egSP =670828, nSpacer =14, downstream =7
120: egSP =671424, nSpacer =14, upstream =7
121: egSP =683753, nSpacer =-1, downstream =0
122: egSP =684478, nSpacer =-1, upstream =-1
133: egSP =757929, nSpacer =14, downstream =7
134: egSP =760745, nSpacer =14, upstream =7
135: egSP =770681, nSpacer =15, downstream =7
136: egSP =772265, nSpacer =15, upstream =8
148: egSP =903816, nSpacer =-4, downstream =-2
149: egSP =904136, nSpacer =-4, upstream =-2
149: egSP =904136, nSpacer =-4, downstream =-2
150: egSP =904963, nSpacer =-4, upstream =-2
153: egSP =926697, nSpacer =0, downstream =0
154: egSP =928419, nSpacer =0, upstream =0
163: egSP =973542, nSpacer =-20, downstream =-10
164: egSP =974845, nSpacer =-20, upstream =-10
164: egSP =974845, nSpacer =-1, downstream =0
165: egSP =975549, nSpacer =-1, upstream =-1
172: egSP =1034289, nSpacer =-4, downstream =-2
173: egSP =1034993, nSpacer =-4, upstream =-2
179: egSP =1070996, nSpacer =11, downstream =5
180: egSP =1071394, nSpacer =11, upstream =6
182: egSP =1097109, nSpacer =54, downstream =27
183: egSP =1098102, nSpacer =54, upstream =27
190: egSP =1147982, nSpacer =15, downstream =7
191: egSP =1148951, nSpacer =15, upstream =8
191: egSP =1148951, nSpacer =12, downstream =6
192: egSP =1149893, nSpacer =12, upstream =6
194: egSP =1154347, nSpacer =-4, downstream =-2
195: egSP =1154985, nSpacer =-4, upstream =-2
197: egSP =1174650, nSpacer =-8, downstream =-4
198: egSP =1175842, nSpacer =-8, upstream =-4
198: egSP =1175842, nSpacer =-1, downstream =0
199: egSP =1176543, nSpacer =-1, upstream =-1
200: egSP =1181006, nSpacer =-4, downstream =-2
201: egSP =1182049, nSpacer =-4, upstream =-2
205: egSP =1200720, nSpacer =-63, downstream =-31
206: egSP =1200999, nSpacer =-63, upstream =-32
207: egSP =1201482, nSpacer =90, downstream =45
208: egSP =1202247, nSpacer =90, upstream =45
211: egSP =1223502, nSpacer =3, downstream =1
212: egSP =1223772, nSpacer =3, upstream =2
220: egSP =1261249, nSpacer =-1, downstream =0
221: egSP =1262100, nSpacer =-1, upstream =-1
222: egSP =1262937, nSpacer =41, downstream =20
223: egSP =1264235, nSpacer =41, upstream =21
223: egSP =1264235, nSpacer =-1, downstream =0
224: egSP =1265317, nSpacer =-1, upstream =-1
224: egSP =1265317, nSpacer =-4, downstream =-2
225: egSP =1266147, nSpacer =-4, upstream =-2
232: egSP =1301858, nSpacer =11, downstream =5
233: egSP =1302778, nSpacer =11, upstream =6
234: egSP =1309113, nSpacer =39, downstream =19
235: egSP =1309872, nSpacer =39, upstream =20
237: egSP =1324876, nSpacer =39, downstream =19
238: egSP =1325791, nSpacer =39, upstream =20
238: egSP =1325791, nSpacer =-4, downstream =-2
239: egSP =1326378, nSpacer =-4, upstream =-2
251: egSP =1418389, nSpacer =22, downstream =11
252: egSP =1418708, nSpacer =22, upstream =11
252: egSP =1418708, nSpacer =12, downstream =6
253: egSP =1419143, nSpacer =12, upstream =6
257: egSP =1461563, nSpacer =-19, downstream =-9
258: egSP =1462495, nSpacer =-19, upstream =-10
264: egSP =1510841, nSpacer =0, downstream =0
265: egSP =1511855, nSpacer =0, upstream =0
265: egSP =1511855, nSpacer =-11, downstream =-5
266: egSP =1512786, nSpacer =-11, upstream =-6
267: egSP =1515906, nSpacer =-4, downstream =-2
268: egSP =1516352, nSpacer =-4, upstream =-2
270: egSP =1532048, nSpacer =95, downstream =47
271: egSP =1532989, nSpacer =95, upstream =48
277: egSP =1638078, nSpacer =4, downstream =2
278: egSP =1638394, nSpacer =4, upstream =2
287: egSP =1680906, nSpacer =75, downstream =37
288: egSP =1682283, nSpacer =75, upstream =38
307: egSP =1793581, nSpacer =14, downstream =7
308: egSP =1795983, nSpacer =14, upstream =7
310: egSP =1798120, nSpacer =3, downstream =1
311: egSP =1798666, nSpacer =3, upstream =2
315: egSP =1821539, nSpacer =-41, downstream =-20
316: egSP =1822386, nSpacer =-41, upstream =-21
324: egSP =1873697, nSpacer =54, downstream =27
325: egSP =1874933, nSpacer =54, upstream =27
332: egSP =1944879, nSpacer =34, downstream =17
333: egSP =1945435, nSpacer =34, upstream =17
333: egSP =1945435, nSpacer =28, downstream =14
334: egSP =1946204, nSpacer =28, upstream =14
343: egSP =1981579, nSpacer =69, downstream =34
344: egSP =1983163, nSpacer =69, upstream =35
361: egSP =2188948, nSpacer =34, downstream =17
362: egSP =2189702, nSpacer =34, upstream =17
367: egSP =2253377, nSpacer =70, downstream =35
368: egSP =2254107, nSpacer =70, upstream =35
385: egSP =2429696, nSpacer =69, downstream =34
386: egSP =2431034, nSpacer =69, upstream =35
391: egSP =2526183, nSpacer =70, downstream =35
392: egSP =2528269, nSpacer =70, upstream =35
399: egSP =2589269, nSpacer =3, downstream =1
400: egSP =2589629, nSpacer =3, upstream =2
407: egSP =2654770, nSpacer =1, downstream =0
408: egSP =2655107, nSpacer =1, upstream =1
408: egSP =2655107, nSpacer =16, downstream =8
409: egSP =2656974, nSpacer =16, upstream =8
410: egSP =2657925, nSpacer =27, downstream =13
411: egSP =2658339, nSpacer =27, upstream =14
413: egSP =2668412, nSpacer =-1, downstream =0
414: egSP =2668930, nSpacer =-1, upstream =-1
418: egSP =2700503, nSpacer =-4, downstream =-2
419: egSP =2701405, nSpacer =-4, upstream =-2
427: egSP =2742205, nSpacer =41, downstream =20
428: egSP =2742594, nSpacer =41, upstream =21
428: egSP =2742594, nSpacer =30, downstream =15
429: egSP =2743392, nSpacer =30, upstream =15
429: egSP =2743392, nSpacer =18, downstream =9
430: egSP =2743959, nSpacer =18, upstream =9
432: egSP =2746796, nSpacer =54, downstream =27
433: egSP =2748137, nSpacer =54, upstream =27
435: egSP =2752030, nSpacer =-11, downstream =-5
436: egSP =2752310, nSpacer =-11, upstream =-6
440: egSP =2798745, nSpacer =-4, downstream =-2
441: egSP =2798987, nSpacer =-4, upstream =-2
448: egSP =2869323, nSpacer =-1, downstream =0
449: egSP =2869802, nSpacer =-1, upstream =-1
449: egSP =2869802, nSpacer =18, downstream =9
450: egSP =2870531, nSpacer =18, upstream =9
451: egSP =2904665, nSpacer =87, downstream =43
452: egSP =2906051, nSpacer =87, upstream =44
455: egSP =2962383, nSpacer =6, downstream =3
456: egSP =2963184, nSpacer =6, upstream =3
468: egSP =3090959, nSpacer =-1, downstream =0
469: egSP =3091522, nSpacer =-1, upstream =-1
486: egSP =3245795, nSpacer =3, downstream =1
487: egSP =3246461, nSpacer =3, upstream =2
489: egSP =3256307, nSpacer =71, downstream =35
490: egSP =3257743, nSpacer =71, upstream =36
494: egSP =3297494, nSpacer =50, downstream =25
495: egSP =3297988, nSpacer =50, upstream =25
495: egSP =3297988, nSpacer =-14, downstream =-7
496: egSP =3298277, nSpacer =-14, upstream =-7
500: egSP =3311364, nSpacer =24, downstream =12
501: egSP =3314061, nSpacer =24, upstream =12
501: egSP =3314061, nSpacer =27, downstream =13
502: egSP =3315576, nSpacer =27, upstream =14
505: egSP =3330884, nSpacer =20, downstream =10
506: egSP =3331162, nSpacer =20, upstream =10
510: egSP =3340858, nSpacer =-32, downstream =-16
511: egSP =3341402, nSpacer =-32, upstream =-16
511: egSP =3341402, nSpacer =6, downstream =3
512: egSP =3341966, nSpacer =6, upstream =3
512: egSP =3341966, nSpacer =47, downstream =23
513: egSP =3342739, nSpacer =47, upstream =24
517: egSP =3375837, nSpacer =15, downstream =7
518: egSP =3376245, nSpacer =15, upstream =8
519: egSP =3378765, nSpacer =89, downstream =44
520: egSP =3380222, nSpacer =89, upstream =45
523: egSP =3396409, nSpacer =-1, downstream =0
524: egSP =3396897, nSpacer =-1, upstream =-1
525: egSP =3398066, nSpacer =65, upstream =33
526: egSP =3403458, nSpacer =10, downstream =5
527: egSP =3403939, nSpacer =10, upstream =5
530: egSP =3431712, nSpacer =14, downstream =7
531: egSP =3432236, nSpacer =14, upstream =7
533: egSP =3437638, nSpacer =40, downstream =20
534: egSP =3438062, nSpacer =40, upstream =20
534: egSP =3438062, nSpacer =25, downstream =12
535: egSP =3439077, nSpacer =25, upstream =13
535: egSP =3439077, nSpacer =33, downstream =16
536: egSP =3439731, nSpacer =33, upstream =17
536: egSP =3439731, nSpacer =16, downstream =8
537: egSP =3440137, nSpacer =16, upstream =8
538: egSP =3440788, nSpacer =7, downstream =3
539: egSP =3442127, nSpacer =7, upstream =4
539: egSP =3442127, nSpacer =3, downstream =1
540: egSP =3442565, nSpacer =3, upstream =2
540: egSP =3442565, nSpacer =3, downstream =1
541: egSP =3442748, nSpacer =3, upstream =2
541: egSP =3442748, nSpacer =14, downstream =7
542: egSP =3443266, nSpacer =14, upstream =7
542: egSP =3443266, nSpacer =9, downstream =4
543: egSP =3443629, nSpacer =9, upstream =5
543: egSP =3443629, nSpacer =12, downstream =6
