bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction	
2	CR	CDS	2	1021	+	+	222010	+	
4	CR	CDS	1190	3013	+	-	224002	+	
6	CR	CDS	3050	3838	-	-	224039	+	
8	CR	CDS	3854	4318	-	-	224843	+	
10	CR	CDS	4579	5391	-	-	225568	+	
12	CR	ND	5662	8748	+	-	229737	+	
14	CR	CDS	8750	9688	+	-	230677	+	
16	CR	CDS	9681	10397	+	-	231386	+	
18	CR	CDS	10467	11375	+	+	232364	+	
20	CR	CDS	11414	11854	-	+	232403	+	
22	CR	CDS	11857	12261	-	-	232846	+	
24	CR	CDS	12367	13359	+	-	234348	+	
26	CR	CDS	13423	14331	-	-	234412	+	
28	CR	CDS	14328	15011	-	+	235317	+	
30	CR	CDS	15013	16062	-	+	236002	+	
32	CR	CDS	16071	17867	-	-	237060	+	
34	CR	CDS	18035	18418	-	-	239024	+	
36	CR	CDS	18676	19335	+	+	240324	+	
38	CR	CDS	19405	20829	-	-	240394	+	
40	CR	CDS	21248	22687	-	-	242237	+	
42	CR	CDS	22689	23939	-	-	243678	+	
44	CR	CDS	24267	25769	-	+	245256	+	
46	CR	CDS	25784	26641	-	+	246773	+	
48	CR	CDS	26656	26943	-	-	247645	+	
50	CR	CDS	26981	27988	-	-	247970	+	
52	CR	CDS	28239	29201	-	-	249228	+	
54	CR	CDS	29255	29893	-	+	250244	+	
56	CR	CDS	29895	30173	-	-	250884	+	
58	CR	CDS	30229	31410	-	-	251218	+	
60	CR	CDS	31426	32289	-	-	252415	+	
62	CR	CDS	32341	33456	-	-	253330	+	
64	CR	CDS	33446	35401	-	+	254435	+	
66	CR	CDS	35422	35889	-	-	256411	+	
68	CR	CDS	35943	36251	-	-	256932	+	
70	CR	CDS	36376	38031	-	-	257365	+	
72	CR	CDS	38237	40015	+	-	261004	+	
74	CR	CDS	40145	41200	+	-	262189	+	
76	CR	CDS	41280	42335	+	+	263324	+	
78	CR	CDS	42335	42823	+	+	263812	+	
80	CR	CDS	42874	43650	-	-	263863	+	
82	CR	CDS	43660	44463	-	+	264649	+	
84	CR	CDS	44511	45185	-	-	265500	+	
86	CR	CDS	45185	46249	-	-	266174	+	
88	CR	CDS	46309	46971	-	-	267298	+	
90	CR	tRNA	47152	47241	+	-	268230	+	
92	CR	CDS	47298	47852	-	-	268287	+	
94	CR	CDS	47955	48281	+	-	269270	+	
96	CR	CDS	48334	48972	-	-	269323	+	
98	CR	CDS	48991	49848	-	-	269980	+	
100	CR	CDS	49848	50792	-	+	270837	+	
102	CR	CDS	50812	52086	-	-	271801	+	
104	CR	CDS	52092	52589	-	-	273081	+	
106	CR	CDS	52628	53614	-	-	273617	+	
108	CR	CDS	53641	54669	-	-	274630	+	
110	CR	CDS	54830	55579	+	-	276568	+	
112	CR	CDS	55607	56791	+	-	277780	+	
114	CR	CDS	56844	57557	-	-	277833	+	
116	CR	CDS	57655	59484	-	-	278644	+	
118	CR	CDS	59486	60250	-	+	280475	+	
120	CR	CDS	60321	61319	-	-	281310	+	
122	CR	CDS	61392	63155	-	-	282381	+	
124	CR	CDS	63196	65562	-	+	284185	+	
126	CR	CDS	65821	66258	+	-	287247	+	
128	CR	CDS	66506	67864	+	-	288853	+	
130	CR	CDS	67873	68355	+	-	289344	+	
132	CR	CDS	68431	68907	+	-	289896	+	
134	CR	CDS	68915	70213	+	-	291202	+	
136	CR	CDS	70214	72103	+	+	293092	+	
138	CR	CDS	72111	73046	+	+	294035	+	
140	CR	CDS	73052	75997	+	-	296986	+	
142	CR	CDS	76082	77758	-	-	297071	+	
144	CR	CDS	77902	78687	-	-	298891	+	
146	CR	CDS	78763	79455	+	-	300444	+	
148	CR	CDS	79468	79812	-	-	300457	+	
150	CR	CDS	79805	80245	-	-	300794	+	
