calcSP	promoter_id	startSite	promoter_strand	bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	
2974531	ECK120009842	2974591	forward	5805	ICR	PP	2974408	2974620	+	
1115912	ECK120009843	1115932	reverse	2137	ICR	PP	1115806	1116029	+	
1115935	ECK120009844	1115995	forward	2137	ICR	PP	1115806	1116029	+	
89536	ECK120009845	89596	forward	161	ICR	TP	89033	89633	+	
1327248	ECK120009846	1327308	forward	2591	ICR	PP	1327137	1327355	+	
1327265	ECK120009847	1327325	forward	2591	ICR	PP	1327137	1327355	+	
4453691	ECK120009848	4453751	forward	8637	ICR	PP	4453633	4453807	+	
4453723	ECK120009849	4453783	forward	8637	ICR	PP	4453633	4453807	+	
4118409	ECK120009850	4118429	reverse	8019	ICR	RBS	4118373	4118438	-	
1830017	ECK120009851	1830037	reverse	3585	ICR	PP	1830007	1830451	+	
1830048	ECK120009852	1830068	reverse	3585	ICR	PP	1830007	1830451	+	
1830043	ECK120009853	1830063	reverse	3585	ICR	PP	1830007	1830451	+	
191752	ECK120009854	191812	forward	337	ICR	TP	191709	191854	+	
2798618	ECK120009855	2798678	forward	5467	ICR	TP	2798498	2798744	+	
4040354	ECK120009856	4040414	forward	7872	CR	CDS	4040092	4040361	+	
4041340	ECK120009857	4041400	forward	7874	CR	CDS	4040438	4041424	+	
940041	ECK120009858	940101	forward	1817	ICR	TP	939944	940181	+	
815990	ECK120009859	816050	forward	1587	ICR	PP	815871	816266	+	
816077	ECK120009860	816137	forward	1587	ICR	PP	815871	816266	+	
1156929	ECK120009861	1156989	forward	2231	ICR	TP	1156798	1157091	+	
1156789	ECK120009862	1156849	forward	2230	CR	CDS	1156000	1156797	+	
2714525	ECK120009863	2714545	reverse	5295	ICR	PP	2714472	2714775	+	
3939479	ECK120009864	4033262	forward	7675	ICR	PP	3939351	3939830	+	
3939479	ECK120009865	3939539	forward	7675	ICR	PP	3939351	3939830	+	
3939596	ECK120009866	3939656	forward	7675	ICR	PP	3939351	3939830	+	
4205826	ECK120009867	4205886	forward	8173	ICR	PP	4205556	4206169	+	
2729450	ECK120009868	2729470	reverse	5319	ICR	PT	2729180	2729621	-	
2729334	ECK120009869	2729354	reverse	5319	ICR	PT	2729180	2729621	-	
223425	ECK120009870	223485	forward	399	ICR	TP	223409	223770	+	
223533	ECK120009871	223593	forward	399	ICR	TP	223409	223770	+	
3427049	ECK120009872	3427069	reverse	6683	ICR	PP	3426785	3427257	+	
3426942	ECK120009873	3426962	reverse	6683	ICR	PP	3426785	3427257	+	
3637851	ECK120009874	3637871	reverse	7115	ICR	PP	3637744	3638133	+	
4373530	ECK120009875	4373590	forward	8462	CR	CDS	4372652	4373680	-	
4374757	ECK120009876	4374817	forward	8469	ICR	TP	4374723	4374897	+	
4446365	ECK120009877	4446425	forward	8621	ICR	TP	4446259	4446469	+	
4446391	ECK120009878	4446451	forward	8621	ICR	TP	4446259	4446469	+	
710032	ECK120009879	710052	reverse	1389	ICR	PT	709949	710157	-	
710724	ECK120009880	710744	reverse	1391	ICR	PT	710689	710827	-	
3057692	ECK120009881	3057752	forward	5962	CR	CDS	3057403	3057723	-	
4044655	ECK120009882	4044675	reverse	7881	ICR	PP	4044626	4044988	+	
1614919	ECK120009883	1614979	forward	3125	ICR	TP	1614903	1615051	+	
103501	ECK120009884	103561	forward	186	CR	CDS	103155	103985	+	
3681501	ECK120009885	3681521	reverse	7187	ICR	PT	3681471	3681652	-	
1644352	ECK120009886	1644412	forward	3160	CR	CDS	1629026	1650862	-	
1644352	ECK120009886	1644412	forward	3209	ICR	TP	1644227	1644428	+	
2001680	ECK120009887	2001700	reverse	3947	ICR	PP	2001631	2001895	+	
1975306	ECK120009888	1975326	reverse	3882	CR	CDS	1975290	1975868	-	
4589596	ECK120009889	4589656	forward	8887	ICR	PP	4589303	4589679	+	
1129368	ECK120009891	1129388	reverse	2171	ICR	PT	1129352	1129426	-	
1137514	ECK120009892	1137574	forward	2190	CR	CDS	1136594	1137535	+	
3217122	ECK120009893	3217142	reverse	6271	ICR	PP	3217099	3217515	+	
1970720	ECK120009894	1970740	reverse	3873	ICR	PT	1970716	1970859	-	
1243759	ECK120009895	1243779	reverse	2425	ICR	PP	1243751	1243950	+	
3677232	ECK120009896	3677252	reverse	7181	ICR	PP	3677211	3677441	+	
3371622	ECK120009897	3371642	reverse	6577	ICR	PT	3371599	3371719	-	
655286	ECK120009898	655306	reverse	1273	ICR	PP	655192	655779	+	
1669291	ECK120009899	1669351	forward	3271	ICR	TP	1668977	1669399	+	
4366566	ECK120009900	4366626	forward	8449	ICR	PP	4366351	4366686	+	
1257745	ECK120009901	1257765	reverse	2445	ICR	PP	1257737	1258013	+	
1257085	ECK120009902	1257105	reverse	2443	ICR	PT	1257036	1257151	-	
3084539	ECK120009903	3084599	forward	6011	ICR	TP	3084425	3084727	+	
1366002	ECK120009904	1366062	forward	2663	ICR	PP	1365937	1366102	+	
1365949	ECK120009905	1365969	reverse	2663	ICR	PP	1365937	1366102	+	
1365933	ECK120009906	1365953	reverse	2662	CR	CDS	1364959	1365936	-	
1366044	ECK120009907	1366064	reverse	2663	ICR	PP	1365937	1366102	+	
594736	ECK120009908	594796	forward	1167	ICR	PP	594667	594822	+	
594665	ECK120009909	594685	reverse	1166	CR	CDS	593983	594666	-	
2347501	ECK120009910	2347521	reverse	4589	ICR	PP	2347495	2347672	+	
2660201	ECK120009911	2660221	reverse	5193	ICR	PT	2660154	2660604	-	
440577	ECK120009912	440597	reverse	855	ICR	PP	440568	440772	+	
3372728	ECK120009913	3372788	forward	6579	ICR	PP	3372512	3372890	+	
2789134	ECK120009914	2789194	forward	5442	CR	CDS	2788004	2789272	+	
1006835	ECK120009915	1006895	forward	1925	ICR	PP	1006824	1007066	+	
4238263	ECK120009916	4238323	forward	8221	ICR	PP	4238079	4238347	+	
141300	ECK120009917	141360	forward	245	ICR	PP	141226	141430	+	
141243	ECK120009918	141263	reverse	245	ICR	PP	141226	141430	+	
141259	ECK120009919	141279	reverse	245	ICR	PP	141226	141430	+	
1173231	ECK120009920	1173251	reverse	2259	ICR	PT	1173188	1173314	-	
1173195	ECK120009921	1173215	reverse	2259	ICR	PT	1173188	1173314	-	
890055	ECK120009922	890115	forward	1729	ICR	PP	889977	890135	+	
891039	ECK120009923	891099	forward	1732	CR	CDS	890407	891129	+	
3663842	ECK120009924	3663862	reverse	7163	ICR	PT	3663834	3664202	-	
